A1	A2	A3	A4	A5	A6	A7	A8
618.075	313.527	93.264	16.652	94.89	332.623	294.863	1026.95
590.547	306.982	93.455	17.349	92.934	325.339	292.314	1019.539
561.265	300.23	94.754	17.113	92.898	325.415	293.866	1008.259
580.855	328.821	92.327	17.844	94.303	330.912	295.175	1033.845
572.917	319.622	90.216	17.392	95.346	324.087	291.896	1032.858
570.145	308.504	86.503	16.89	95.139	324.053	294.775	1002.029
522.468	312.13	88.012	17.004	93.044	311.916	284.88	966.479
491.363	300.73	91.269	16.821	89.366	310.066	273.056	947.37
431.489	277.966	89.238	16.121	92.706	310.512	269.623	943.066
464.667	276.613	88.997	16.313	93.367	308.483	259.766	926.295
444.584	294.461	91.067	16.66	89.731	305.098	257.805	891.178
458.944	291.081	90.018	16.546	90.266	301.898	260.004	867.814
444.252	280.934	88.445	15.763	87.431	300.757	269.798	827.53
366.982	246.52	83.048	14.576	81.572	275.271	250.86	786.944
395.357	249.82	81.806	15.095	80.469	278.979	232.757	831.836
410.568	251.706	81.966	15.121	79.603	284.329	245.189	852.427
366.362	262.819	83.51	15.505	78.765	281.466	235	874.967
377.187	270.439	85.343	15.563	81.335	299.267	257.331	906.412
404.18	257.148	86.908	15.247	81.909	288.845	248.169	862.886
379.994	258.353	85.675	14.71	79.354	281.043	238.163	824.951
399.593	259.698	85.325	14.61	77.909	281.276	241.321	831.768
345.827	255.953	83.391	14.067	72.694	264.411	225.275	789.817
288.271	263.591	83.771	14.085	67.785	258.625	217.96	800.048
318.779	270.911	81.363	13.961	68.197	257.324	214.678	766.647
285.723	262.011	83.219	13.468	71.135	249.511	209.818	752.343
296.847	274.922	83.001	14.624	69.14	265.777	230.112	824.147
338.558	266.904	80.076	14.584	69.904	264.752	232.061	826.882
363.27	277.026	82.158	13.913	73.691	271.285	239.918	830.633
359.793	268.291	82.845	14.412	76.564	274.912	243.422	847.538
342.413	273.645	85.929	14.542	78.424	278.952	248.774	847.934
364.354	273.062	88.935	14.574	80.409	289.253	257.317	876.664
362.057	275.86	90.781	14.585	82.642	296.169	264.195	881.508
355.02	265.032	92.6	14.87	84.123	284.928	254.743	850.619
358.458	259.843	94.373	14.681	80.614	284.909	251.052	846.109
409.612	264.553	94.356	14.601	81.67	281.502	250.136	829.664
390.427	269.065	96.095	14.4	81.337	290.006	255.992	834.38
402.94	270.665	95.039	14.457	84.169	296.963	259.174	852.219
437.466	269.733	94.578	15.115	86.843	299.526	269.261	869.893
410.805	266.373	95.322	14.898	87.533	301.223	280.293	858.343
362.639	255.525	92.732	14.828	86.739	283.229	271.167	833.194
378.975	256.153	91.686	14.705	81.826	284.22	257.147	792.925
367.993	260.82	92.734	14.802	82.247	284.052	252.329	786.882
354.095	274.811	90.54	14.585	81.883	287.21	249.065	766.601
